ADM1_Region,Latitude,Longitude,selection
PRT.3_1,37.51090410463782,-8.18563265684143,train
IND.32_1,17.508599730972247,78.36682253857953,train
RUS.48_1,43.51213088578534,44.567866161452,train
BRA.17_1,-3.849007355609106,-32.44232673700493,train
ROU.19_1,45.772138384868384,27.733622867185176,train
HUN.3_1,46.65207460499537,21.05087397271189,train
MEX.9_1,19.32229222881305,-99.13913192556916,train
ARG.5_1,-34.595585098945485,-58.48703201485032,train
JPN.14_1,36.736992011622846,140.3241914657861,train
IND.29_1,26.413680732308595,76.40457280121245,train
NPL.1_1,26.924558036148937,85.69748672466112,train
MYS.9_1,4.821855168930023,101.09558669897731,train
THA.68_1,15.121358493947875,103.90940139091572,train
TUR.62_1,38.17432014778223,34.62205647674474,train
ALB.5_1,40.93037241707516,19.708865627647285,train
SVN.5_1,45.77993609608242,14.293567256775916,train
COL.8_2,5.070540600032973,-75.84991641782453,train
VNM.37_1,12.179368278544946,108.15125224338972,train
IMN.6_2,54.07345433325523,-4.659476593318178,train
JPN.5_1,33.20828749245516,132.38984299484926,train
KEN.38_1,0.0745574750162776,34.27909684502807,train
ESP.5_1,41.57986201431898,-3.2338866137134734,train
USA.43_1,35.67159378025662,-85.75184105866278,train
LIE.10_1,47.11992061410667,9.549210117843431,train
NZL.12_1,-45.83842398730983,170.64008830415008,train
KEN.16_1,-0.8073160267138891,34.71218191761375,train
AND.5_1,42.53660846845254,1.5408795053133302,train
USA.1_1,30.6645695762339,-87.9612429571619,train
IND.19_1,24.56280842441669,81.6770291349385,train
ARG.9_1,-24.024031444636627,-61.5943880304703,train
SGP.1_1,1.3402859006517551,103.7869757122811,train
KOR.5_1,36.45113442572949,127.42797648533204,train
IND.6_1,30.68979870946712,76.76459766860687,train
BRA.13_1,-19.87669290147329,-50.794401339238135,train
JPN.2_1,40.2195366214083,140.00477645349298,train
LTU.10_1,55.20165821019668,26.127623416037235,train
CHE.12_1,47.05154162144561,8.114524495339786,train
