ADM1_Region,Latitude,Longitude
ALA.3_2,60.08866579447323,19.91757811252812
ALA.3_2,60.11796743031006,19.959953247296028
ALA.3_2,60.05471717785871,19.968076165984403
ALA.3_2,60.08370103351675,19.94022684406892
ALA.3_2,60.11312444959219,19.940742504639232
ALA.3_2,60.12490066570029,19.930065559096807
ALA.3_2,60.12383569826395,19.933869893239613
ALA.3_2,60.06773287703282,19.955743083362915
ALA.3_2,60.10399900291576,19.9276242741448
ALA.3_2,60.08562626548004,19.959221826066592
ALB.5_1,40.48412796067526,19.840384667174405
ALB.5_1,41.0315711483544,19.6592592494113
ALB.5_1,41.0521711080706,19.59929905259523
ALB.5_1,40.6420675092547,19.50037469089857
ALB.5_1,41.01803257561893,19.661677779777
ALB.5_1,40.69014282511568,19.509585359103347
ALB.5_1,40.70978929449366,19.546081963773624
ALB.5_1,41.04812623600917,19.6527662138128
ALB.5_1,40.93037241707516,19.708865627647285
ALB.5_1,40.99868152578317,19.53119871100865
ALB.6_1,40.31020730842931,20.200689807614346
ALB.6_1,40.02937776422686,20.24638994595473
ALB.6_1,39.91605563508334,20.327226065277472
ALB.6_1,40.4613062602746,19.851487421687917
ALB.6_1,40.07178659165008,20.15828157073638
ALB.6_1,40.29949712622075,20.149578015145018
ALB.6_1,40.31764173111267,19.94855090325142
ALB.6_1,40.4221926846824,19.85715828593219
ALB.6_1,40.04854529570301,20.17687898877832
ALB.6_1,40.07753864951934,20.14934180397583
ALB.9_1,41.77881013957886,19.604878175971464
ALB.9_1,41.778434927047165,19.604017293550744
ALB.9_1,41.78075123751396,19.603972111424376
ALB.9_1,41.77977469482504,19.603643055751487
ALB.9_1,41.80320009205268,19.90726340794957
ALB.9_1,41.77851655137231,19.60430648940709
ALB.9_1,41.77748310017436,19.603604119516643
ALB.9_1,41.780087334821424,19.60374542586512
ALB.9_1,41.779283174916266,19.604297742752934
ALB.9_1,41.77594666908724,19.603641253219163
AND.1_1,42.49436542734137,1.500004202777568
AND.1_1,42.49734100834199,1.5078226438764888
AND.1_1,42.523070449464974,1.5393531391130906
AND.1_1,42.51335127541172,1.5316157725990225
AND.1_1,42.49653374105284,1.4979854757476057
AND.1_1,42.4985328330417,1.5145538217601937
AND.1_1,42.52187515574549,1.522892683761884
AND.1_1,42.5244730518915,1.5206426339450874
AND.1_1,42.5078258965353,1.532731649091429
AND.1_1,42.50725114443225,1.5340647863792067
AND.2_1,42.56874920449761,1.6473824470499754
AND.2_1,42.57103255194341,1.5971312247118872
AND.2_1,42.5575280842346,1.6075977139884754
AND.2_1,42.58661703069284,1.6381721215192386
AND.2_1,42.544450863720826,1.707591029856883
AND.2_1,42.54854621159034,1.6993988582382955
AND.2_1,42.55090957114791,1.6957269715362846
AND.2_1,42.570101963478095,1.6410579530868763
AND.2_1,42.53887893285832,1.7126449684195546
AND.2_1,42.571788195289,1.5969408420098483
AND.3_1,42.53255677530737,1.563693769937441
AND.3_1,42.53192848373892,1.576096991039376
AND.3_1,42.52893972867408,1.5696756547078878
AND.3_1,42.530014077327614,1.700935561366889
AND.3_1,42.529417982273245,1.6979254309327172
AND.3_1,42.534945497144726,1.6245332825135708
AND.3_1,42.526643878069166,1.6992557198666112
AND.3_1,42.53298520875244,1.5696291321695908
AND.3_1,42.52563566576227,1.7127461585677797
AND.3_1,42.52654298062812,1.7002073169664635
AND.4_1,42.50701201005209,1.5375837740484493
AND.4_1,42.512164984373634,1.5596889587081515
AND.4_1,42.5119046457824,1.5395974426974308
AND.4_1,42.51021864403737,1.5383278330486676
AND.4_1,42.510093719987424,1.5508661112073256
AND.4_1,42.5056763114724,1.5431668150419602
AND.4_1,42.51516409929394,1.5461480692952505
AND.4_1,42.518404519843074,1.5567893232632404
AND.4_1,42.51211472994358,1.5424608178122745
AND.4_1,42.50493865448619,1.5492577230105515
AND.5_1,42.57254776077888,1.4633307669626534
AND.5_1,42.53509931809034,1.452354891671879
AND.5_1,42.54760294584082,1.4210537727177792
AND.5_1,42.53151769456919,1.5327525244521711
AND.5_1,42.54780741482238,1.5252185847403728
AND.5_1,42.53952127044664,1.453540943630221
AND.5_1,42.5390755972038,1.453221055823594
AND.5_1,42.53706758467397,1.4937140869062793
AND.5_1,42.53660846845254,1.5408795053133302
AND.5_1,42.554158132584014,1.4462649186339522
AND.7_1,42.490164818495984,1.495184836850497
AND.7_1,42.43761329507069,1.5312493578970403
AND.7_1,42.43664297544492,1.476277199562987
AND.7_1,42.43331551305048,1.5369856769559755
AND.7_1,42.486256215465296,1.4647110040325035
AND.7_1,42.45959746416261,1.5073151663077409
AND.7_1,42.48489683504928,1.4617307773691393
AND.7_1,42.43581375946669,1.5208608250540827
AND.7_1,42.44543569567046,1.5180647623824008
AND.7_1,42.47530301558748,1.5071738917633417
ARE.2_1,25.434384662040888,55.52354836269228
ARE.2_1,25.409689649941093,55.469582523698094
ARE.2_1,25.413816775524367,55.43997196222504
ARE.2_1,25.41096268668414,55.54820436236746
ARE.2_1,25.42873941441667,55.58418857481149
ARE.2_1,24.832481865516467,56.04005723187932
ARE.2_1,25.37883586091785,55.49748519699726
ARE.2_1,25.42604202390335,55.53147323029658
ARE.2_1,25.423454425943483,55.51499350810819
ARE.2_1,25.410800193075065,55.59173746080343
ARE.4_1,25.12254447330037,56.32095792592536
