geocell_idx,subcluster,lat,lng,count,indices
0,0,47.266773409011066,7.972577957323348,15,"[3129, 6559, 9523, 9542, 10050, 11294, 11723, 12302, 12844, 13158, 14777, 15413, 16571, 17679, 18118]"
0,1,47.531173485971166,7.590775620821687,30,"[942, 1227, 1463, 2443, 2677, 3386, 3853, 4574, 5332, 5528, 6153, 6600, 6680, 6893, 7526, 8215, 8267, 10783, 10823, 11300, 12145, 12761, 12903, 14915, 15266, 16302, 17065, 17366, 18601, 18964]"
0,2,47.18324020013707,7.698821355906095,10,"[6326, 9279, 10400, 12943, 13571, 13810, 17343, 17394, 18922, 19478]"
0,3,48.12831999852953,7.849550389450679,1,[17841]
0,4,47.486419566524496,7.80025251259377,11,"[1102, 1332, 2697, 6400, 6791, 7976, 12080, 12711, 15936, 18258, 19095]"
1,0,16.51333209806356,104.50847989142844,8,"[5413, 6472, 7773, 8528, 13278, 14330, 15685, 16523]"
1,1,16.356380106122582,104.81591458748244,6,"[4524, 6915, 7145, 11161, 13004, 16649]"
1,2,16.22156463103725,104.39904630233602,5,"[5360, 9312, 14593, 15830, 17853]"
1,3,16.78468687080332,104.63271452243289,7,"[3769, 4950, 6261, 8042, 9352, 15075, 18132]"
1,4,16.00147823615333,104.77251501664502,6,"[1919, 2029, 5866, 11367, 14092, 18799]"
2,0,32.33071443422193,-64.71864045071497,53,"[1310, 1890, 2248, 2494, 2897, 3023, 3106, 3419, 3741, 4080, 4095, 4575, 5630, 6406, 6676, 7049, 7878, 8183, 8357, 8493, 8789, 8877, 9052, 9490, 9622, 9751, 9932, 9973, 10424, 10470, 10788, 10828, 10835, 11245, 11269, 12522, 12945, 13055, 13082, 13479, 13704, 13724, 14222, 14288, 15590, 15607, 16522, 16559, 17887, 17925, 17975, 18428, 18522]"
2,1,32.26100283784534,-64.82070273387504,31,"[1548, 3363, 4325, 4375, 4872, 5679, 6711, 6824, 7834, 8194, 8313, 8378, 8450, 8470, 9377, 9824, 10563, 10747, 10831, 11067, 11575, 11816, 13160, 13207, 13830, 14659, 14859, 15463, 16339, 18211, 19030]"
2,2,32.29301195661984,-64.77822198440494,66,"[23, 183, 1150, 1262, 1722, 2189, 2212, 2321, 2326, 2788, 3170, 3905, 3986, 4045, 4155, 4823, 5058, 5368, 5991, 6933, 7066, 7294, 7354, 7784, 7935, 8248, 8510, 8717, 9033, 10169, 10212, 10594, 10710, 10776, 10820, 10994, 11054, 11140, 11173, 11254, 11645, 11661, 12139, 12160, 12381, 12534, 13001, 13161, 13900, 13989, 14228, 14769, 15478, 15836, 15928, 16245, 16502, 17092, 17173, 17519, 17659, 17850, 17865, 18555, 18583, 19460]"
2,3,32.36602175412556,-64.6626465573129,28,"[938, 1284, 1566, 1630, 2962, 3388, 4334, 4638, 5150, 5888, 6882, 7068, 7119, 7403, 7707, 7999, 8838, 9248, 9284, 9585, 12999, 13483, 15010, 15423, 16137, 17060, 17603, 19188]"
2,4,32.28723806697592,-64.86221042196652,29,"[562, 585, 2072, 3564, 4163, 4323, 4589, 4590, 5258, 5536, 6508, 6640, 7590, 7754, 8342, 8489, 10323, 10600, 11641, 12810, 13755, 14516, 14645, 14821, 16087, 16653, 17284, 18435, 19307]"
3,0,40.785661746670336,39.22973036914361,1,[3949]
3,1,40.962475474075234,39.701587667573015,8,"[3040, 3710, 9987, 13029, 14270, 15194, 18212, 18568]"
3,2,40.91502377455956,40.00850508238521,4,"[743, 4201, 4357, 13981]"
3,3,40.984383827470914,39.442838609938384,5,"[3099, 3672, 6387, 9739, 15959]"
3,4,40.616755865730696,39.53415115728272,1,[16797]
4,0,-18.50397805982502,-49.20675620326747,2,"[9697, 10498]"
4,1,-17.433289105355264,-48.79951626581729,1,[15656]
4,2,-17.789311948689033,-49.56759999866466,1,[6748]
4,3,-18.42804848232601,-48.528126260999976,1,[7320]
4,4,-17.654073011226522,-49.17038922829706,1,[3910]
5,0,37.863004434744084,-122.43749279014718,8,"[3774, 4042, 8765, 12831, 14584, 17033, 17915, 19102]"
5,1,37.82643031110899,-122.37182943661355,7,"[3803, 10844, 11417, 12553, 13895, 15564, 19419]"
5,2,37.826473723099525,-122.4228706147644,11,"[3977, 6007, 8273, 9648, 9757, 10060, 10276, 10748, 13058, 13607, 15302]"
5,3,37.86194137468868,-122.42815666151805,14,"[1596, 3256, 5471, 6097, 6199, 6957, 9471, 11055, 12212, 12777, 14785, 17498, 18476, 19314]"
5,4,37.8150034001466,-122.36973489146746,4,"[1636, 5075, 7908, 14439]"
6,0,36.212020288546626,138.34701604609165,4,"[11454, 13752, 14362, 16623]"
6,1,36.877901337037706,138.39191048533547,4,"[2636, 3151, 3490, 7023]"
6,2,36.22777678528099,137.90932815708635,2,"[10825, 13977]"
6,3,36.38494167541024,138.61966107100005,3,"[1939, 6039, 9802]"
6,4,36.524647402898914,138.10018613392978,3,"[822, 1124, 5278]"
7,0,-0.41684335329597255,37.085675396387394,5,"[1371, 11131, 12857, 15834, 17740]"
7,1,-0.5337832079220318,36.909398208628794,8,"[980, 2520, 2657, 5365, 7845, 9708, 10519, 13991]"
7,2,-0.2178835058144069,36.86984514569465,2,"[3624, 11327]"
7,3,-0.5683616480006999,37.18071597716222,5,"[8721, 10047, 11565, 12748, 16844]"
7,4,-0.18084336123947117,37.06335378072321,5,"[1208, 4422, 9645, 16192, 17347]"
8,0,-41.26769299452033,173.25708617099966,6,"[2569, 3980, 6529, 7954, 10573, 17104]"
8,1,-41.33373990596263,173.21068582229958,1,[886]
8,2,-41.26684204967176,173.2580208009021,10,"[4707, 5229, 5440, 6765, 7329, 8570, 10404, 12549, 15310, 18752]"
8,3,-41.26903901523683,173.2585170446055,2,"[4449, 11573]"
