region,lat,lng,img1,img2,img3,img4,selection
CZE.3_1,50.008139516611415,12.879709399421603,data/streetview_images/CZE.3_1/CZE.3_1_50_008140_12_879709.1.jpg,data/streetview_images/CZE.3_1/CZE.3_1_50_008140_12_879709.2.jpg,data/streetview_images/CZE.3_1/CZE.3_1_50_008140_12_879709.3.jpg,data/streetview_images/CZE.3_1/CZE.3_1_50_008140_12_879709.4.jpg,train
JPN.12_1,42.98615601362263,140.5115341804616,data/streetview_images/JPN.12_1/JPN.12_1_42_986156_140_511534.1.jpg,data/streetview_images/JPN.12_1/JPN.12_1_42_986156_140_511534.2.jpg,data/streetview_images/JPN.12_1/JPN.12_1_42_986156_140_511534.3.jpg,data/streetview_images/JPN.12_1/JPN.12_1_42_986156_140_511534.4.jpg,train
USA.6_1,38.15731712748588,-106.86486294224156,data/streetview_images/USA.6_1/USA.6_1_38_157317_-106_864863.1.jpg,data/streetview_images/USA.6_1/USA.6_1_38_157317_-106_864863.2.jpg,data/streetview_images/USA.6_1/USA.6_1_38_157317_-106_864863.3.jpg,data/streetview_images/USA.6_1/USA.6_1_38_157317_-106_864863.4.jpg,train
PRI.78_1,18.07086233317592,-66.90751203546313,data/streetview_images/PRI.78_1/PRI.78_1_18_070862_-66_907512.1.jpg,data/streetview_images/PRI.78_1/PRI.78_1_18_070862_-66_907512.2.jpg,data/streetview_images/PRI.78_1/PRI.78_1_18_070862_-66_907512.3.jpg,data/streetview_images/PRI.78_1/PRI.78_1_18_070862_-66_907512.4.jpg,train
ROU.23_1,45.9152410588545,22.733347323615828,data/streetview_images/ROU.23_1/ROU.23_1_45_915241_22_733347.1.jpg,data/streetview_images/ROU.23_1/ROU.23_1_45_915241_22_733347.2.jpg,data/streetview_images/ROU.23_1/ROU.23_1_45_915241_22_733347.3.jpg,data/streetview_images/ROU.23_1/ROU.23_1_45_915241_22_733347.4.jpg,train
BRA.9_1,-15.608561930896474,-50.24967772260104,data/streetview_images/BRA.9_1/BRA.9_1_-15_608562_-50_249678.1.jpg,data/streetview_images/BRA.9_1/BRA.9_1_-15_608562_-50_249678.2.jpg,data/streetview_images/BRA.9_1/BRA.9_1_-15_608562_-50_249678.3.jpg,data/streetview_images/BRA.9_1/BRA.9_1_-15_608562_-50_249678.4.jpg,train
NLD.5_1,53.40869963744053,6.8516110961143335,data/streetview_images/NLD.5_1/NLD.5_1_53_408700_6_851611.1.jpg,data/streetview_images/NLD.5_1/NLD.5_1_53_408700_6_851611.2.jpg,data/streetview_images/NLD.5_1/NLD.5_1_53_408700_6_851611.3.jpg,data/streetview_images/NLD.5_1/NLD.5_1_53_408700_6_851611.4.jpg,train
KHM.22_1,13.715753956957716,105.83566457200956,data/streetview_images/KHM.22_1/KHM.22_1_13_715754_105_835665.1.jpg,data/streetview_images/KHM.22_1/KHM.22_1_13_715754_105_835665.2.jpg,data/streetview_images/KHM.22_1/KHM.22_1_13_715754_105_835665.3.jpg,data/streetview_images/KHM.22_1/KHM.22_1_13_715754_105_835665.4.jpg,train
EST.10_1,57.973147571393866,27.614427680175663,data/streetview_images/EST.10_1/EST.10_1_57_973148_27_614428.1.jpg,data/streetview_images/EST.10_1/EST.10_1_57_973148_27_614428.2.jpg,data/streetview_images/EST.10_1/EST.10_1_57_973148_27_614428.3.jpg,data/streetview_images/EST.10_1/EST.10_1_57_973148_27_614428.4.jpg,train
CHE.9_1,47.1022864217022,9.033945905249544,data/streetview_images/CHE.9_1/CHE.9_1_47_102286_9_033946.1.jpg,data/streetview_images/CHE.9_1/CHE.9_1_47_102286_9_033946.2.jpg,data/streetview_images/CHE.9_1/CHE.9_1_47_102286_9_033946.3.jpg,data/streetview_images/CHE.9_1/CHE.9_1_47_102286_9_033946.4.jpg,train
